image_url,price,artist,title,date
https://d32dm0rphc51dk.cloudfront.net/5fbUwYO33-UFNUxYoH9-hA/larger.jpg,US$400,Joshua Heath,Lucha Libre Choreography,2020
https://d32dm0rphc51dk.cloudfront.net/5ksSJ60rnUxhG_yRb71Sig/larger.jpg,"US$1,500",Robert Minervini,Five Lemons in a Bowl by the Sea,2024
https://d32dm0rphc51dk.cloudfront.net/XRpO08OEONs5caac7nxRGA/larger.jpg,"US$6,500",Hunt Slonem,May Day,2024
https://d32dm0rphc51dk.cloudfront.net/ixuUtGdeHqn4LtwDMUCBfQ/larger.jpg,"£700-£1,000",Lily Hargreaves,Afternoon Nap,2024
https://d32dm0rphc51dk.cloudfront.net/TKdJrhkxgWMXdyo746trdw/larger.jpg,US$400,Alex Kuno,Palace 2,2024
https://d32dm0rphc51dk.cloudfront.net/uSAp3f-oDE8UawcM2pkqAA/larger.jpg,US$340,yuki,In a cocoon,2024
https://d32dm0rphc51dk.cloudfront.net/INOUsfoZ8gXl047BJ4cHaA/larger.jpg,US$225,"R.W. ""Rudy"" Beerens",Janna,2021
https://d32dm0rphc51dk.cloudfront.net/VVxkLOY7jk_TzZXELP1Gvg/larger.jpg,US$850,Nicole Williford,Mother & Child,2024
https://d32dm0rphc51dk.cloudfront.net/74jQ9kAA5A9aYq3ks-EmXw/larger.jpg,"US$16,500",Hunt Slonem,Stomp,2024
https://d32dm0rphc51dk.cloudfront.net/lQoalzaFmKGiz22mcTLEng/larger.jpg,US$225,Satoshi Egawa,RA - Naked,2019
https://d32dm0rphc51dk.cloudfront.net/8PAiBpwbvRtOtjdai0p5fQ/larger.jpg,"US$10,000",Gary Baseman,Release of Anger,2008
https://d32dm0rphc51dk.cloudfront.net/MjmfcOPKH6wT-iULF3ZZ9A/larger.jpg,US$350,Matthew Crumpton,The Treasure,2024
https://d32dm0rphc51dk.cloudfront.net/3yrfvqG-OBWzL7guuHsklA/large.jpg,"US$1,900",Frederick Fulmer,Abandoned City ,2015
https://d32dm0rphc51dk.cloudfront.net/VPMQE_Xyhm3-jCf9kh1Qig/larger.jpg,"US$75,000-US$85,000",Alighiero Boetti,Cinque per cinque venticinque,1988
https://d32dm0rphc51dk.cloudfront.net/SizihvLyVBjew8A2EFPEYg/larger.jpg,"US$1,500",Natalya Mougenot,Floral Dancing,2024
https://d32dm0rphc51dk.cloudfront.net/K9gMO_zpslLyWUXA8xz_gg/larger.jpg,"US$13,500",Hunt Slonem,Maximillion,2021
https://d32dm0rphc51dk.cloudfront.net/NxUo71aDguXVL2uq31hUKA/larger.jpg,"US$2,785",Robert Pokorny,Untitled,2022
